text,label
"I do love Lomzynianka. I am even going to go as far as to say that it is my favorite restaurant in the city because it's so consistent, close to my home, wonderfully cheap, and charmingly casual. Oh, and it's also just good. I have yet to find a better Polish restaurant in the 'hood, though I've tried. Yelp's right on this one. I recommend for the vegetarians the vegetable borscht, the potato & cheese pierogies, and the sauerkraut. My carnivorous friends swear by the Hungarian pie.","[1.0, 0.0]"
"Wow ! Best Curry ever! I had a customized lamb curry and my friend had a beef curry, my lamb curry was not as spicy but it's so distinct it had raisin and almond.  The garlic Nan was fresh and great too! Lastly, a mango sorbet was given to us as a gift !","[0.0, 1.0]"
"Overall quite good; service was excellent. They don't seat before 5:30, so it's the bar until then (we showed up ten minutes before our res time; plenty of other people did, too, so the bar gets a bit crowded). The restaurant is packed with tables, and it is popular; I don't think, though, that there is anything such as a 'best' seat; everywhere I saw diners get bumped and sidestepped by wait staff moving around. They're experts at it, but still, if you want a little space, this is not the restaurant for you. My sister and I had the bone marrow (very good), I had the Tavern steak with french fries (fine, not special), my sister had the mussels (she loved them), and we had a soufflé for dessert that they encourage you to order early because they have to make it. It was fine, also not super special, but it's big; it's meant for two. One nitpicky criticism I have of Minetta Tavern is that I made the reservation on OpenTable, and then they (the Tavern) called me three times to confirm it. I understand they want my assurance, but they really can't have it, even by harassing me, unless they're going to require a credit card to hold it. So back off, a little, Minetta Tavern; your restaurant was hopping, so you're clearly not hurting for business. No need to keep calling me!","[1.0, 0.0]"
"Tucked away under the Brooklyn Bridge not far from the hubbub of south street seaport is this nondescript Tex-Mex seafood joint. Went with a party of six and had a great time. Bacon wrapped poppers were sensational. Crab cake burgers were delicious. Cocktails were good and fairly priced. Apparently the po boys are great too. All this for under $40 a head. Great value. Oh, and the music pumps in here creating quite a raucous vibe. Will definitely go back.","[1.0, 0.0]"
"The worst delivery experience ever. Waited for an hour and half. I live 3 blocks away. I was repeatedly called from their charming delivery man who was yelling at me... I then proceeded to call Zutto. I spoke with some Host who said "" I will take care of it. Then he hung up. I couldn't believe it. He never asked who I was or where I lived. I had been waiting for 1hr and 45 minutes for 3 rolls. I mean really? I called back and asked them to cancel my order. I will never ever order from this place again. It's just too bad that Takahachi was closed on Sunday. I rest my case. takahachi.net","[0.0, 1.0]"
"Wonderful service, wonderful food, great prices... hands down the best indian food in the village. Open late too!!","[0.0, 1.0]"
"There's been quite a bit of hype surrounding L'Artusi since it opened (I have literally overheard people talking about this place on multiple occasions), and I decided to make a reservation for my wife's birthday.  When we arrived, the restaurant was absolutely packed.  With chic decor, a bustling local crowd, and a reputation that preceded it, L'Artusi has everything it needs to be successful going for it. Sadly, I wasn't a fan of the one thing that matters the most: the food.  The hamachi tartare was decidedly average -- it really isn't even in the same league as Le Bernardin's version.  The pasta was quite bland, and the roasted chicken was a bit overcooked.  If there was one redeeming quality, it would be the sides.  Both the crispy potatoes and the Brussels sprouts were quite fantastic.","[1.0, 0.0]"
"My friend wanted a French bistro for her birthday dinner, and La Sirene didn't disappoint.  The food was good, the fish fresh, and everything was done nicely.  It didn't blow me away, but it was a good meal.  We had the French onion soup, which was superb, and a salad to start, and each had a different fish special.  The service was excellent, attentive without being intrusive.","[1.0, 0.0]"
"Happiness is a pulled pork sanwich.  And tell me, people what is better than a menu that has a pulled pork sandwich and also features corn dogs and fries?!!  Both were dee-lish. Not to mention the onion rings. Oh, I'm going back all right!  Next time instead of one sandwich, I'm going with the server's recommendation of two.  Take that, skinny biatches! A complimentary shot of Jameson rounded out the meal perfectly.","[1.0, 0.0]"
"Almost certainly the best pizza I've ever had in Manhattan, and this is very odd because I had never heard of this place before I went there last night. Why isn't this place talked about like the rest of the pantheon of top-flight New York pizza eateries? Or maybe it is, and I'm just out of the loop. At any rate, you need to eat here.","[0.0, 1.0]"
