text,label
"Fun little spot much more homey than a tourist spot. We had the Papardelle (oxtail ragu) (a new one if me), ricotta cavatelli, and buffalo mozzerella, tomato, prosciutto antipasti along with happy hour $5 house wine. All very yummy and pretty affordable for NYC Little Italy. Also the pasta portions were adequately sized (not oversized) so truly right for one person. We enjoyed the ambiance and very attentive service.","[1.0, 0.0]"
"Nooooooooooooo. I decided to get some soup here when I wasn't feeling well along with some ""spicy food"". I decided to order from them because they left menus all over my apt building. I ordered for pick up and couldn't find the place right away. The girl who worked the counter kept calling and screaming at me asking where I was... I told you the first 2 times you called I was having trouble locating the restaurant.... Anyway, I ended up finding the place and getting my food and it was pretty bland and not that great....","[1.0, 0.0]"
"Food is excellent.  Best meatloaf in the world!!!!!!! However, the service is pretty weak.","[1.0, 0.0]"
very good! Great service! good prices,"[1.0, 0.0]"
"I've been to Cafe Mulino several times with my most recent visit being last night. I met up with a business associate and we just hung out at the bar for dinner. We started out with sausage and hot peppers which were great, the peppers were fresh and very spicey. The bartender also brought out bread to start and the best part were the garlic sticks which were great, especially when using the sauce from the peppers as a dipping sauce. For dinner, I went with a whole wheat pasta dish with garlic, oil and grilled chicken, it was absolutely delicious. My friend went with a bronzini which he thought was tremendous (I'm not a seafood eater so I can't really confirm). We finished the meal with coffee and averna.   Johnson, one of the owners stopped by to say hi as he usually does. The only thing that they really need to improve is speed of service, I'm okay with a long meal, but a lot of people are unfortunately in a rush, so if you are I would suggest letting your server know ahead of time so that you can be accommodated.","[0.0, 1.0]"
"So good!! Went with a bunch of friends; we had a reservation but still wound up having to wait 25 extra minutes. We weren't very happy about that but Rubirosa was very accommodating - they gave us a free bottle of Prosecco and a free bruschetta appetizer! The bruschetta was SO good - mushroom, goat cheese and panchetta! I would have definitely still ordered it if it wasn't free :-) To continue our meal we ordered 2 Rubirosa salads which we very good. Had the meatballs, a vodka pizza and a caprese pizza as well as a cavatelli pasta dish. Definitely over ordered but it was all SO good that we didn't regret indulging! The environment was very nice for groups and I will definitely be returning!","[1.0, 0.0]"
"Excellent every time.  Super nice owners, tasty food and great atmosphere.  I just wish fewer people knew about it so I could get a table quicker.","[1.0, 0.0]"
"Love this place!! The food is awesome and the ladies always smile and ask if we like the food or nay. So sweet! Every time I go to Korean town, I always go to bcd... I had miss Korea once, wasn't as good as bcd hahaha","[0.0, 1.0]"
"everyone's reviews are pretty spot on...i think i like this place more than most. the only dessert they have are ice cream sundaes in a variety of ways. that's wierd. good thing they're delicious, huh? espresso sundae all the way.","[1.0, 0.0]"
Overpriced diner food. Food wasn't all that bad though.,"[0.0, 1.0]"
